iter	Logloss
0	0.692416943
1	0.6917628991
2	0.6912390888
3	0.6908566422
4	0.6902829009
5	0.6897382233
6	0.6891989535
7	0.6888156905
8	0.6885506637
9	0.6881494252
10	0.6878948186
11	0.6872519229
12	0.6869217932
13	0.6865666405
14	0.6861457278
15	0.6859668012
16	0.6857606057
17	0.6852980172
18	0.6849755882
19	0.6847675545
20	0.6846129235
21	0.6844784157
22	0.6843164684
23	0.6841824028
24	0.6839635721
25	0.6838570084
26	0.683460218
27	0.6832395479
28	0.6828664451
29	0.6827159717
30	0.6824319766
31	0.6821067829
32	0.6818467487
33	0.6815828769
34	0.6814746316
35	0.6813427894
36	0.6812049744
37	0.6810051967
38	0.6806122492
39	0.6804173352
40	0.6803348194
41	0.680271689
42	0.679988782
43	0.6799067797
44	0.6797400711
45	0.6796400071
46	0.6795507546
47	0.6793998188
48	0.6793359283
49	0.6792979313
50	0.6792779241
51	0.6791713788
52	0.6790640081
53	0.6790245895
54	0.6788136987
55	0.6787266099
56	0.6782944904
57	0.6781514355
58	0.6780681793
59	0.6780103062
60	0.6779511959
61	0.6777904048
62	0.677772055
63	0.6777231698
64	0.6776834572
65	0.6774267683
66	0.6773791064
67	0.6773438514
68	0.6772517532
69	0.6772201611
70	0.6771427666
71	0.6771327372
72	0.6769492578
73	0.676830114
74	0.6768240361
75	0.6767375783
76	0.6765843943
77	0.6765496128
78	0.6764247899
79	0.6761572678
80	0.676086161
81	0.6759792092
82	0.6759475975
83	0.6759197861
84	0.6758901607
85	0.6758463188
86	0.6757644506
87	0.6756644527
88	0.6756245241
89	0.6755565358
90	0.6755494483
91	0.6755245704
92	0.6753990629
93	0.6753494846
94	0.6752692196
95	0.6751873495
96	0.6751195432
97	0.6750396283
98	0.6749595333
99	0.6749343956
