iter	Passed	Remaining
0	6	6538
1	7	3913
2	9	3097
3	10	2633
4	11	2294
5	12	2109
6	13	1981
7	15	1895
8	16	1828
9	17	1769
10	19	1714
11	20	1668
12	21	1629
13	22	1594
14	23	1569
15	25	1545
16	26	1523
17	27	1496
18	28	1481
19	29	1469
20	31	1454
21	32	1441
22	33	1428
23	34	1419
24	36	1409
25	37	1398
26	38	1388
27	39	1379
28	40	1371
29	42	1366
30	45	1421
31	48	1470
32	50	1486
33	52	1498
34	53	1481
35	54	1464
36	55	1447
37	58	1488
38	60	1486
39	62	1501
40	74	1736
41	75	1720
42	76	1713
43	80	1750
44	81	1739
45	86	1788
46	88	1793
47	90	1785
48	94	1843
49	98	1868
50	100	1863
51	103	1882
52	104	1865
53	106	1859
54	111	1912
55	114	1924
56	115	1905
57	116	1887
58	117	1870
59	118	1854
60	119	1838
61	120	1820
62	121	1804
63	122	1786
64	123	1773
65	124	1765
66	126	1758
67	129	1781
68	132	1782
69	133	1779
70	135	1767
71	136	1753
72	137	1742
73	138	1731
74	139	1720
75	140	1705
76	141	1695
77	142	1684
78	143	1674
79	144	1663
80	145	1648
81	146	1637
82	146	1621
83	147	1612
84	148	1603
85	149	1592
86	150	1582
87	151	1568
88	152	1556
89	152	1544
90	153	1532
91	154	1525
92	155	1517
93	156	1510
94	157	1500
95	158	1493
96	159	1486
97	160	1479
98	161	1471
99	162	1465
100	163	1457
101	164	1451
102	165	1444
103	166	1434
104	167	1428
105	168	1421
106	169	1415
107	170	1409
108	171	1402
109	172	1396
110	173	1390
111	174	1383
112	175	1377
113	176	1371
114	177	1365
115	178	1360
116	179	1355
117	180	1351
118	182	1348
119	183	1348
120	185	1345
121	186	1342
122	188	1345
123	189	1341
124	191	1340
125	193	1340
126	196	1349
127	197	1345
128	198	1340
129	199	1334
130	200	1332
131	202	1333
132	205	1341
133	209	1350
134	210	1346
135	211	1340
136	211	1332
137	212	1328
138	213	1322
139	214	1315
140	215	1310
141	216	1305
142	216	1300
143	217	1295
144	218	1291
145	219	1284
146	220	1279
147	221	1275
148	222	1271
149	223	1267
150	224	1263
151	225	1256
152	226	1253
153	227	1249
