iter	Logloss
0	0.6912206796
1	0.690075977
2	0.6878365737
3	0.6864159804
4	0.6853765634
5	0.6841541584
6	0.6830174373
7	0.6817131042
8	0.6808042673
9	0.6794132526
10	0.6782635029
11	0.6767904428
12	0.675648792
13	0.6749262296
14	0.6738932096
15	0.6730565585
16	0.6712557279
17	0.6709099403
18	0.6694723276
19	0.6686818636
20	0.6683731079
21	0.6678304819
22	0.6672671978
23	0.6667299711
24	0.6658875685
25	0.6652690007
26	0.6647315979
27	0.664172422
28	0.6635147095
29	0.6629825299
30	0.6617060735
31	0.6609888517
32	0.6608404306
33	0.6605189397
34	0.6599786025
35	0.6595635634
36	0.6586107694
37	0.6578670208
38	0.6570865338
39	0.6567166842
40	0.656414208
41	0.6556370662
42	0.654964271
43	0.6540030846
44	0.6535641597
45	0.6526268005
46	0.6519216097
47	0.6516823989
48	0.6514668391
49	0.6508701031
50	0.6507528452
51	0.6503388038
52	0.6503233103
53	0.6497124305
54	0.6492453942
55	0.6490646362
56	0.648839393
57	0.6483193031
58	0.6480355483
59	0.6477061932
60	0.6473514263
61	0.6467629066
62	0.6459719731
63	0.6452229426
64	0.644975809
65	0.6447954031
66	0.6446408785
67	0.6443602342
68	0.6434979365
69	0.643148745
70	0.6429698064
71	0.6425754254
72	0.6421703632
73	0.6419577378
74	0.6415468656
75	0.6413351206
76	0.6409261263
77	0.6405845055
78	0.6400465745
79	0.639801847
80	0.6397342388
81	0.6396368173
82	0.6396317115
83	0.6391086285
84	0.6389019306
85	0.6384543786
86	0.6383858314
87	0.6383815472
88	0.6383088919
89	0.6378288856
90	0.6377640944
91	0.6373342661
92	0.6372093201
93	0.637026508
94	0.6368450458
95	0.6366418692
96	0.636122953
97	0.6357802171
98	0.6356236971
99	0.6353218665
100	0.6352120033
101	0.6347247197
102	0.6343651992
103	0.6342593853
104	0.6339197012
105	0.6336575435
106	0.6334786048
107	0.6327274029
108	0.6325972337
109	0.6324357253
110	0.6321125911
111	0.6318179791
112	0.6312971849
113	0.6308058519
114	0.630674685
115	0.6299281194
116	0.6296328031
117	0.629112185
118	0.6289960421
119	0.6287602351
120	0.6283774156
121	0.6277810904
122	0.6274370634
123	0.6266421978
124	0.6261817345
125	0.6261227534
126	0.6258302542
127	0.6256173941
128	0.6255160992
129	0.6254722008
130	0.6252374502
131	0.6250623263
132	0.6247039208
133	0.6245540912
134	0.6240980295
135	0.6239011911
136	0.6237360441
137	0.6236014146
138	0.6235376798
139	0.6235277616
140	0.6230556781
141	0.622808251
142	0.6226067176
143	0.6222487816
144	0.6220366845
145	0.6220247709
146	0.6217386099
147	0.6215106671
148	0.6211016141
149	0.6207851116
150	0.6206711402
151	0.6206350473
152	0.6202382601
153	0.6199418288
154	0.6198361323
155	0.6196604802
156	0.6195774959
157	0.6194434533
158	0.6190342243
159	0.6185275151
160	0.6181975145
161	0.6179968027
162	0.6177008996
163	0.617154987
164	0.6170089722
165	0.6161855257
166	0.6161242558
167	0.6157081017
168	0.6156805185
169	0.6154612028
170	0.6153669504
171	0.6153245779
172	0.6150506827
173	0.6146693303
174	0.6146127554
175	0.6145243718
176	0.6142833416
177	0.6138501094
178	0.6132919898
179	0.6128933833
180	0.6128517738
181	0.6124666654
182	0.6122377249
183	0.6120732234
184	0.611626317
185	0.6113743709
186	0.6110406729
187	0.610700754
188	0.6103077815
189	0.6096142109
190	0.6095598661
191	0.609453172
192	0.6094287579
193	0.6094197787
194	0.6090469947
195	0.6086996225
196	0.6084629939
197	0.6084391667
198	0.6083035396
199	0.6080133291
200	0.6077369103
201	0.6073523888
202	0.6073081383
203	0.60705361
204	0.6066674453
205	0.6064853375
206	0.606345074
207	0.6062224168
208	0.6057471642
209	0.6055411706
210	0.6053232633
211	0.6052493756
212	0.6051146287
213	0.604917673
214	0.604529102
215	0.6041257418
216	0.6036268968
217	0.6028886061
218	0.6026416485
219	0.602228957
220	0.602105126
221	0.6019129826
