iter	Logloss
0	0.6926000141
1	0.6921787721
2	0.6917930454
3	0.6910729778
4	0.690681382
5	0.6903180274
6	0.6900257307
7	0.6897275136
8	0.6894670809
9	0.6891730415
10	0.6887735003
11	0.6885542651
12	0.6882838996
13	0.6880936177
14	0.6878126685
15	0.6875024172
16	0.6870691295
17	0.6866278325
18	0.6863933733
19	0.6861716913
20	0.6859564395
21	0.6857993946
22	0.6856376686
23	0.6855006101
24	0.6849962829
25	0.6848783812
26	0.6846177316
27	0.6844208036
28	0.6843016727
29	0.6842322773
30	0.6840216572
31	0.6837550276
32	0.6836236337
33	0.6835562545
34	0.6834948743
35	0.6832666526
36	0.6830106263
37	0.6829153053
38	0.6827952806
39	0.6823834082
40	0.6823013715
41	0.6822194942
42	0.6821273029
43	0.6820631273
44	0.6819114898
45	0.6816904228
46	0.6816447426
47	0.6815763639
48	0.6814787645
49	0.6814533379
50	0.6812565695
51	0.681232275
52	0.6811815304
53	0.6811045694
54	0.6809270505
55	0.6809122189
56	0.6808987098
57	0.6808447328
58	0.6807936526
59	0.6806794655
60	0.6806633098
61	0.6805942889
62	0.6805792732
63	0.6805453125
64	0.6804924885
65	0.6802405618
66	0.6801824218
67	0.6800893258
68	0.6798862563
69	0.679608219
70	0.6795980706
71	0.6795612323
72	0.6795319024
73	0.6792667028
74	0.679071202
75	0.678976459
76	0.6788987453
77	0.678891066
78	0.6788052106
79	0.6787991038
80	0.6785573826
81	0.6785348356
82	0.6784711263
83	0.6784445882
84	0.6783894925
85	0.678265452
86	0.6782101496
87	0.6781120872
88	0.6780727018
89	0.6780430463
90	0.6779907895
91	0.6778940198
92	0.6775743011
93	0.6775011562
94	0.6774707332
95	0.6774531317
96	0.6774390699
97	0.6774384061
98	0.6772795951
99	0.677241342
