iter	Logloss
0	0.6925583007
1	0.6919696716
2	0.6914706267
3	0.691019378
4	0.6903781959
5	0.6899856478
6	0.6896863158
7	0.6893441773
8	0.6890090415
9	0.6887508719
10	0.6884780969
11	0.6882342473
12	0.6879490168
13	0.6876186224
14	0.6873274253
15	0.6871484317
16	0.6867692688
17	0.6865336485
18	0.6862788103
19	0.6861318834
20	0.6858705044
21	0.6853567662
22	0.6852380422
23	0.6849302628
24	0.6847450327
25	0.6845174813
26	0.6844140065
27	0.6842126996
28	0.6838515312
29	0.6837732943
30	0.6836720436
31	0.6835534863
32	0.6834331283
33	0.6829823664
34	0.6829220683
35	0.6827083119
36	0.6826014046
37	0.6824058078
38	0.6822464882
39	0.6821087412
40	0.6819097763
41	0.6816033459
42	0.6814568362
43	0.6813596157
44	0.6812800992
45	0.6811059217
46	0.6808178741
47	0.6806886799
48	0.680568874
49	0.6804225373
50	0.6804001607
51	0.6802555197
52	0.680068092
53	0.6799545452
54	0.6799115531
55	0.6798881603
56	0.6796022805
57	0.6795234957
58	0.6794787284
59	0.6793276999
60	0.6790843509
61	0.6790336735
62	0.6789323339
63	0.6788663603
64	0.6788013492
65	0.6786980193
66	0.6786487468
67	0.6785496472
68	0.6784277071
69	0.6783780787
70	0.678296119
71	0.6782438382
72	0.6777660861
73	0.6777323173
74	0.6776734952
75	0.6774761109
76	0.6774532315
77	0.6774045846
78	0.677251181
79	0.6771004004
80	0.6769317935
81	0.676613158
82	0.6765713109
83	0.6765596115
84	0.6764850935
85	0.6764186981
86	0.6763545125
87	0.6760413105
88	0.6760130426
89	0.6759578344
90	0.6758608249
91	0.6757891663
92	0.6756871414
93	0.6756515443
94	0.6755325863
95	0.6754585697
96	0.6754054133
97	0.6752521077
98	0.6752498754
99	0.675194387
